publication	date	deaths
2020-05-19	2020-04-02	199
2020-05-19	2020-04-03	195
2020-05-19	2020-04-04	221
2020-05-19	2020-04-05	234
2020-05-19	2020-04-06	239
2020-05-19	2020-04-07	246
2020-05-19	2020-04-08	253
2020-05-19	2020-04-09	251
2020-05-19	2020-04-10	232
2020-05-19	2020-04-11	238
2020-05-19	2020-04-12	230
2020-05-19	2020-04-13	238
2020-05-19	2020-04-14	240
2020-05-19	2020-04-15	220
2020-05-19	2020-04-16	232
2020-05-19	2020-04-17	229
2020-05-19	2020-04-18	181
2020-05-19	2020-04-19	204
2020-05-19	2020-04-20	204
2020-05-19	2020-04-21	167
2020-05-19	2020-04-22	188
2020-05-19	2020-04-23	148
2020-05-19	2020-04-24	156
2020-05-19	2020-04-25	122
2020-05-19	2020-04-26	140
2020-05-19	2020-04-27	123
2020-05-19	2020-04-28	122
2020-05-19	2020-04-29	124
2020-05-19	2020-04-30	115
2020-05-19	2020-05-01	98
2020-05-19	2020-05-02	76
2020-05-19	2020-05-03	89
2020-05-19	2020-05-04	76
2020-05-19	2020-05-05	85
2020-05-19	2020-05-06	72
2020-05-19	2020-05-07	52
2020-05-19	2020-05-08	51
2020-05-19	2020-05-09	53
2020-05-19	2020-05-10	58
2020-05-19	2020-05-11	56
2020-05-19	2020-05-12	39
2020-05-19	2020-05-13	40
2020-05-19	2020-05-14	40
2020-05-19	2020-05-15	23
2020-05-19	2020-05-16	11
2020-05-19	2020-05-17	13
2020-05-19	2020-05-18	8
2020-05-20	2020-03-07	0
2020-05-20	2020-03-08	1
2020-05-20	2020-03-09	2
2020-05-20	2020-03-10	1
2020-05-20	2020-03-11	1
2020-05-20	2020-03-12	4
2020-05-20	2020-03-13	2
2020-05-20	2020-03-14	3
2020-05-20	2020-03-15	4
2020-05-20	2020-03-16	11
2020-05-20	2020-03-17	12
2020-05-20	2020-03-18	12
2020-05-20	2020-03-19	21
2020-05-20	2020-03-20	39
2020-05-20	2020-03-21	24
2020-05-20	2020-03-22	41
2020-05-20	2020-03-23	40
2020-05-20	2020-03-24	65
2020-05-20	2020-03-25	75
2020-05-20	2020-03-26	91
2020-05-20	2020-03-27	102
2020-05-20	2020-03-28	107
2020-05-20	2020-03-29	115
2020-05-20	2020-03-30	170
2020-05-20	2020-03-31	162
2020-05-20	2020-04-01	163
2020-05-20	2020-04-02	200
2020-05-20	2020-04-03	195
2020-05-20	2020-04-04	221
2020-05-20	2020-04-05	234
2020-05-20	2020-04-06	240
2020-05-20	2020-04-07	247
2020-05-20	2020-04-08	254
2020-05-20	2020-04-09	252
2020-05-20	2020-04-10	235
2020-05-20	2020-04-11	239
2020-05-20	2020-04-12	234
2020-05-20	2020-04-13	237
2020-05-20	2020-04-14	240
2020-05-20	2020-04-15	220
2020-05-20	2020-04-16	234
2020-05-20	2020-04-17	230
2020-05-20	2020-04-18	183
2020-05-20	2020-04-19	205
2020-05-20	2020-04-20	205
2020-05-20	2020-04-21	168
2020-05-20	2020-04-22	188
2020-05-20	2020-04-23	148
2020-05-20	2020-04-24	156
2020-05-20	2020-04-25	122
2020-05-20	2020-04-26	141
2020-05-20	2020-04-27	123
2020-05-20	2020-04-28	122
2020-05-20	2020-04-29	124
2020-05-20	2020-04-30	116
2020-05-20	2020-05-01	98
2020-05-20	2020-05-02	76
2020-05-20	2020-05-03	91
2020-05-20	2020-05-04	77
2020-05-20	2020-05-05	86
2020-05-20	2020-05-06	72
2020-05-20	2020-05-07	55
2020-05-20	2020-05-08	52
2020-05-20	2020-05-09	55
2020-05-20	2020-05-10	60
2020-05-20	2020-05-11	58
