Altersgruppe;"Anzahl Fälle";Meldewoche;Jahr
90+;1;28;2020
90+;1;29;2020
90+;1;30;2020
90+;1;31;2020
90+;1;32;2020
90+;2;33;2020
90+;0;34;2020
90+;1;35;2020
90+;0;36;2020
90+;10;37;2020
90+;7;38;2020
90+;15;39;2020
90+;21;40;2020
90+;13;41;2020
90+;16;42;2020
90+;66;43;2020
90+;130;44;2020
90+;87;45;2020
90+;166;46;2020
90+;229;47;2020
90+;162;48;2020
90+;154;49;2020
90+;204;50;2020
90+;320;51;2020
90+;293;52;2020
90+;335;53;2020
90+;346;1;2021
90+;379;2;2021
90+;284;3;2021
90+;285;4;2021
90+;208;5;2021
90+;177;6;2021
90+;134;7;2021
90+;83;8;2021
90+;51;9;2021
90+;49;10;2021
90+;48;11;2021
90+;67;12;2021
90+;46;13;2021
90+;49;14;2021
90+;52;15;2021
90+;22;16;2021
