"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Aschaffenburg";"2021";"34";23;81;1
"LK Aschaffenburg";"2021";"35";38;85;0
"LK Aschaffenburg";"2021";"36";46;90;0
"LK Aschaffenburg";"2021";"37";50;95;0
"LK Aschaffenburg";"2021";"38";21;64;0
"LK Aschaffenburg";"2021";"39";25;88;0
"LK Aschaffenburg";"2021";"40";28;69;0
"LK Aschaffenburg";"2021";"41";49;65;0
"LK Aschaffenburg";"2021";"42";66;103;1
"LK Aschaffenburg";"2021";"43";59;140;0
"LK Aschaffenburg";"2021";"44";140;170;0
"LK Aschaffenburg";"2021";"45";349;137;0
"LK Aschaffenburg";"2021";"46";575;101;0
"LK Augsburg";"2021";"01";291;0;35
"LK Augsburg";"2021";"02";359;0;16
"LK Augsburg";"2021";"03";214;3;7
"LK Augsburg";"2021";"04";128;6;2
"LK Augsburg";"2021";"05";115;6;3
"LK Augsburg";"2021";"06";58;13;1
"LK Augsburg";"2021";"07";77;10;3
"LK Augsburg";"2021";"08";26;66;29
"LK Augsburg";"2021";"09";20;71;45
"LK Augsburg";"2021";"10";18;110;59
"LK Augsburg";"2021";"11";23;141;47
"LK Augsburg";"2021";"12";19;152;109
"LK Augsburg";"2021";"13";19;173;98
"LK Augsburg";"2021";"14";22;193;134
"LK Augsburg";"2021";"15";32;299;172
"LK Augsburg";"2021";"16";125;316;40
"LK Augsburg";"2021";"17";80;304;37
"LK Augsburg";"2021";"18";73;201;49
"LK Augsburg";"2021";"19";63;148;10
"LK Augsburg";"2021";"20";45;78;16
"LK Augsburg";"2021";"21";22;50;12
"LK Augsburg";"2021";"22";5;28;17
"LK Augsburg";"2021";"23";6;30;3
"LK Augsburg";"2021";"24";1;12;8
"LK Augsburg";"2021";"25";7;15;3
"LK Augsburg";"2021";"26";1;11;1
"LK Augsburg";"2021";"27";7;21;4
"LK Augsburg";"2021";"28";6;19;0
"LK Augsburg";"2021";"29";8;24;0
"LK Augsburg";"2021";"30";4;16;0
"LK Augsburg";"2021";"31";4;34;0
"LK Augsburg";"2021";"32";13;41;0
"LK Augsburg";"2021";"33";17;73;2
"LK Augsburg";"2021";"34";38;143;1
"LK Augsburg";"2021";"35";53;172;0
"LK Augsburg";"2021";"36";68;185;0
"LK Augsburg";"2021";"37";37;156;1
"LK Augsburg";"2021";"38";45;163;2
"LK Augsburg";"2021";"39";57;156;0
"LK Augsburg";"2021";"40";89;106;0
"LK Augsburg";"2021";"41";103;122;3
"LK Augsburg";"2021";"42";236;241;2
"LK Augsburg";"2021";"43";393;353;1
"LK Augsburg";"2021";"44";339;627;2
"LK Augsburg";"2021";"45";1102;300;0
"LK Augsburg";"2021";"46";1687;205;0
"LK Bad Kissingen";"2021";"01";144;0;0
"LK Bad Kissingen";"2021";"02";105;0;0
"LK Bad Kissingen";"2021";"03";86;0;0
"LK Bad Kissingen";"2021";"04";93;1;0
"LK Bad Kissingen";"2021";"05";114;1;0
"LK Bad Kissingen";"2021";"06";26;7;0
"LK Bad Kissingen";"2021";"07";15;12;0
"LK Bad Kissingen";"2021";"08";22;26;0
"LK Bad Kissingen";"2021";"09";26;41;0
"LK Bad Kissingen";"2021";"10";49;42;2
"LK Bad Kissingen";"2021";"11";55;35;3
"LK Bad Kissingen";"2021";"12";46;47;0
"LK Bad Kissingen";"2021";"13";12;90;0
"LK Bad Kissingen";"2021";"14";18;70;0
"LK Bad Kissingen";"2021";"15";44;109;1
"LK Bad Kissingen";"2021";"16";87;109;4
"LK Bad Kissingen";"2021";"17";39;107;0
"LK Bad Kissingen";"2021";"18";28;91;0
"LK Bad Kissingen";"2021";"19";30;40;0
"LK Bad Kissingen";"2021";"20";17;38;2
"LK Bad Kissingen";"2021";"21";12;17;0
"LK Bad Kissingen";"2021";"22";4;9;0
"LK Bad Kissingen";"2021";"23";3;7;0
"LK Bad Kissingen";"2021";"24";2;3;0
"LK Bad Kissingen";"2021";"25";0;1;0
"LK Bad Kissingen";"2021";"26";1;2;0
"LK Bad Kissingen";"2021";"27";1;0;0
"LK Bad Kissingen";"2021";"28";0;1;0
"LK Bad Kissingen";"2021";"29";1;4;0
"LK Bad Kissingen";"2021";"30";1;4;0
"LK Bad Kissingen";"2021";"31";1;7;1
"LK Bad Kissingen";"2021";"32";4;11;10
"LK Bad Kissingen";"2021";"33";7;15;2
"LK Bad Kissingen";"2021";"34";3;15;0
"LK Bad Kissingen";"2021";"35";12;28;0
"LK Bad Kissingen";"2021";"36";5;17;0
"LK Bad Kissingen";"2021";"37";13;43;1
"LK Bad Kissingen";"2021";"38";47;12;0
"LK Bad Kissingen";"2021";"39";49;6;3
"LK Bad Kissingen";"2021";"40";42;21;1
"LK Bad Kissingen";"2021";"41";50;23;0
"LK Bad Kissingen";"2021";"42";60;41;1
"LK Bad Kissingen";"2021";"43";144;80;1
"LK Bad Kissingen";"2021";"44";263;89;0
"LK Bad Kissingen";"2021";"45";509;9;0
"LK Bad Kissingen";"2021";"46";440;3;0
"LK Bad Tölz-Wolfratshausen";"2021";"01";194;0;0
"LK Bad Tölz-Wolfratshausen";"2021";"02";150;0;0
"LK Bad Tölz-Wolfratshausen";"2021";"03";145;0;10
"LK Bad Tölz-Wolfratshausen";"2021";"04";126;0;8
"LK Bad Tölz-Wolfratshausen";"2021";"05";70;1;13
"LK Bad Tölz-Wolfratshausen";"2021";"06";55;10;19
"LK Bad Tölz-Wolfratshausen";"2021";"07";17;14;11
"LK Bad Tölz-Wolfratshausen";"2021";"08";21;7;31
"LK Bad Tölz-Wolfratshausen";"2021";"09";10;17;13
"LK Bad Tölz-Wolfratshausen";"2021";"10";15;39;7
"LK Bad Tölz-Wolfratshausen";"2021";"11";19;56;5
"LK Bad Tölz-Wolfratshausen";"2021";"12";21;92;8
"LK Bad Tölz-Wolfratshausen";"2021";"13";20;76;1
"LK Bad Tölz-Wolfratshausen";"2021";"14";35;116;1
"LK Bad Tölz-Wolfratshausen";"2021";"15";67;140;4
"LK Bad Tölz-Wolfratshausen";"2021";"16";70;134;3
"LK Bad Tölz-Wolfratshausen";"2021";"17";65;128;6
"LK Bad Tölz-Wolfratshausen";"2021";"18";43;72;5
"LK Bad Tölz-Wolfratshausen";"2021";"19";34;50;4
"LK Bad Tölz-Wolfratshausen";"2021";"20";20;35;3
"LK Bad Tölz-Wolfratshausen";"2021";"21";15;19;0
"LK Bad Tölz-Wolfratshausen";"2021";"22";14;15;0
"LK Bad Tölz-Wolfratshausen";"2021";"23";7;7;0
"LK Bad Tölz-Wolfratshausen";"2021";"24";3;2;0
"LK Bad Tölz-Wolfratshausen";"2021";"25";10;4;0
"LK Bad Tölz-Wolfratshausen";"2021";"26";2;0;0
"LK Bad Tölz-Wolfratshausen";"2021";"27";8;21;4
"LK Bad Tölz-Wolfratshausen";"2021";"28";5;15;0
"LK Bad Tölz-Wolfratshausen";"2021";"29";5;12;0
"LK Bad Tölz-Wolfratshausen";"2021";"30";9;8;1
"LK Bad Tölz-Wolfratshausen";"2021";"31";3;17;3
"LK Bad Tölz-Wolfratshausen";"2021";"32";16;18;0
"LK Bad Tölz-Wolfratshausen";"2021";"33";22;25;4
"LK Bad Tölz-Wolfratshausen";"2021";"34";36;67;2
"LK Bad Tölz-Wolfratshausen";"2021";"35";44;85;2
"LK Bad Tölz-Wolfratshausen";"2021";"36";69;79;0
"LK Bad Tölz-Wolfratshausen";"2021";"37";52;103;3
"LK Bad Tölz-Wolfratshausen";"2021";"38";36;103;0
"LK Bad Tölz-Wolfratshausen";"2021";"39";51;130;1
"LK Bad Tölz-Wolfratshausen";"2021";"40";95;130;1
"LK Bad Tölz-Wolfratshausen";"2021";"41";189;231;0
"LK Bad Tölz-Wolfratshausen";"2021";"42";227;320;0
"LK Bad Tölz-Wolfratshausen";"2021";"43";469;346;1
"LK Bad Tölz-Wolfratshausen";"2021";"44";686;149;4
"LK Bad Tölz-Wolfratshausen";"2021";"45";959;196;0
"LK Bad Tölz-Wolfratshausen";"2021";"46";887;79;9
"LK Bamberg";"2021";"01";204;0;0
"LK Bamberg";"2021";"02";204;0;0
"LK Bamberg";"2021";"03";125;1;2
"LK Bamberg";"2021";"04";175;0;3
"LK Bamberg";"2021";"05";156;2;2
"LK Bamberg";"2021";"06";134;11;6
"LK Bamberg";"2021";"07";76;29;8
"LK Bamberg";"2021";"08";49;19;18
"LK Bamberg";"2021";"09";42;19;8
"LK Bamberg";"2021";"10";25;28;4
"LK Bamberg";"2021";"11";12;50;7
"LK Bamberg";"2021";"12";25;88;12
"LK Bamberg";"2021";"13";20;74;16
"LK Bamberg";"2021";"14";22;139;13
"LK Bamberg";"2021";"15";125;43;38
"LK Bamberg";"2021";"16";78;122;41
"LK Bamberg";"2021";"17";37;148;36
"LK Bamberg";"2021";"18";18;127;32
"LK Bamberg";"2021";"19";27;94;17
"LK Bamberg";"2021";"20";20;53;9
"LK Bamberg";"2021";"21";12;42;7
"LK Bamberg";"2021";"22";6;21;3
