Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
SL;35;35;2020;<4
SL;36;36;2020;0
SL;37;37;2020;0
SL;38;38;2020;<4
SL;39;39;2020;<4
SL;40;40;2020;0
SL;41;41;2020;0
SL;42;42;2020;<4
SL;43;43;2020;5
SL;44;44;2020;16
SL;45;45;2020;19
SL;46;46;2020;22
SL;47;47;2020;27
SL;48;48;2020;16
SL;49;49;2020;35
SL;50;50;2020;42
SL;51;51;2020;51
SL;52;52;2020;51
SL;53;53;2020;58
SL;54;1;2021;68
SN;10;10;2020;0
SN;11;11;2020;0
SN;12;12;2020;<4
SN;13;13;2020;12
SN;14;14;2020;38
SN;15;15;2020;36
SN;16;16;2020;43
SN;17;17;2020;28
SN;18;18;2020;24
SN;19;19;2020;13
SN;20;20;2020;8
SN;21;21;2020;9
SN;22;22;2020;4
SN;23;23;2020;5
SN;24;24;2020;<4
SN;25;25;2020;0
SN;26;26;2020;<4
SN;27;27;2020;<4
SN;28;28;2020;<4
SN;29;29;2020;0
SN;30;30;2020;0
SN;31;31;2020;0
SN;32;32;2020;0
SN;33;33;2020;0
SN;34;34;2020;0
SN;35;35;2020;0
SN;36;36;2020;0
SN;37;37;2020;<4
SN;38;38;2020;<4
SN;39;39;2020;6
SN;40;40;2020;9
SN;41;41;2020;9
SN;42;42;2020;26
SN;43;43;2020;47
SN;44;44;2020;98
SN;45;45;2020;142
SN;46;46;2020;217
SN;47;47;2020;267
SN;48;48;2020;416
SN;49;49;2020;432
SN;50;50;2020;608
SN;51;51;2020;802
SN;52;52;2020;827
SN;53;53;2020;721
SN;54;1;2021;668
ST;10;10;2020;0
ST;11;11;2020;0
ST;12;12;2020;<4
ST;13;13;2020;7
ST;14;14;2020;5
ST;15;15;2020;12
ST;16;16;2020;9
ST;17;17;2020;6
ST;18;18;2020;9
ST;19;19;2020;6
ST;20;20;2020;<4
ST;21;21;2020;<4
ST;22;22;2020;<4
ST;23;23;2020;<4
ST;24;24;2020;<4
ST;25;25;2020;<4
ST;26;26;2020;<4
ST;27;27;2020;0
ST;28;28;2020;0
ST;29;29;2020;0
ST;30;30;2020;<4
ST;31;31;2020;0
ST;32;32;2020;0
ST;33;33;2020;0
ST;34;34;2020;<4
ST;35;35;2020;0
ST;36;36;2020;<4
ST;37;37;2020;0
ST;38;38;2020;<4
ST;39;39;2020;<4
ST;40;40;2020;0
ST;41;41;2020;<4
ST;42;42;2020;<4
ST;43;43;2020;5
ST;44;44;2020;14
ST;45;45;2020;12
ST;46;46;2020;20
ST;47;47;2020;30
ST;48;48;2020;54
ST;49;49;2020;60
ST;50;50;2020;109
ST;51;51;2020;137
ST;52;52;2020;212
ST;53;53;2020;235
ST;54;1;2021;198
SH;10;10;2020;<4
SH;11;11;2020;0
SH;12;12;2020;<4
SH;13;13;2020;7
SH;14;14;2020;20
SH;15;15;2020;24
SH;16;16;2020;27
SH;17;17;2020;23
SH;18;18;2020;20
SH;19;19;2020;6
SH;20;20;2020;7
SH;21;21;2020;5
SH;22;22;2020;5
SH;23;23;2020;<4
SH;24;24;2020;4
SH;25;25;2020;0
SH;26;26;2020;0
SH;27;27;2020;0
SH;28;28;2020;<4
SH;29;29;2020;<4
SH;30;30;2020;0
SH;31;31;2020;<4
SH;32;32;2020;0
SH;33;33;2020;0
SH;34;34;2020;<4
SH;35;35;2020;0
SH;36;36;2020;0
SH;37;37;2020;0
SH;38;38;2020;0
SH;39;39;2020;0
SH;40;40;2020;<4
SH;41;41;2020;0
SH;42;42;2020;<4
SH;43;43;2020;5
SH;44;44;2020;16
SH;45;45;2020;29
SH;46;46;2020;18
SH;47;47;2020;13
SH;48;48;2020;14
SH;49;49;2020;18
SH;50;50;2020;36
SH;51;51;2020;49
SH;52;52;2020;81
SH;53;53;2020;92
SH;54;1;2021;98
TH;10;10;2020;0
TH;11;11;2020;0
TH;12;12;2020;<4
TH;13;13;2020;<4
