Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
NI;2020;15;135
NI;2020;16;92
NI;2020;17;83
NI;2020;18;62
NI;2020;19;35
NI;2020;20;31
NI;2020;21;31
NI;2020;22;12
NI;2020;23;6
NI;2020;24;7
NI;2020;25;7
NI;2020;26;6
NI;2020;27;8
NI;2020;28;<4
NI;2020;29;<4
NI;2020;30;<4
NI;2020;31;<4
NI;2020;32;<4
NI;2020;33;<4
NI;2020;34;7
NI;2020;35;<4
NI;2020;36;0
NI;2020;37;<4
NI;2020;38;7
NI;2020;39;6
NI;2020;40;13
NI;2020;41;11
NI;2020;42;18
NI;2020;43;31
NI;2020;44;51
NI;2020;45;88
NI;2020;46;96
NI;2020;47;139
NI;2020;48;166
NI;2020;49;142
NI;2020;50;201
NI;2020;51;218
NI;2020;52;274
NI;2020;53;271
NI;2021;1;273
NI;2021;2;309
NI;2021;3;335
NI;2021;4;301
NI;2021;5;313
NI;2021;6;249
NI;2021;7;193
NI;2021;8;197
NI;2021;9;125
NI;2021;10;109
NI;2021;11;94
NI;2021;12;87
NI;2021;13;106
NI;2021;14;101
NI;2021;15;88
NI;2021;16;103
NI;2021;17;97
NI;2021;18;84
NI;2021;19;69
NI;2021;20;54
NI;2021;21;47
NI;2021;22;32
NI;2021;23;17
NI;2021;24;20
NI;2021;25;7
NI;2021;26;6
NI;2021;27;<4
NI;2021;28;4
NI;2021;29;<4
NI;2021;30;<4
NI;2021;31;5
NI;2021;32;5
NI;2021;33;9
NI;2021;34;13
NI;2021;35;13
NI;2021;36;31
NI;2021;37;39
NI;2021;38;34
NI;2021;39;35
NI;2021;40;29
NI;2021;41;33
NI;2021;42;27
NI;2021;43;34
NI;2021;44;55
NI;2021;45;66
NI;2021;46;86
NI;2021;47;98
NI;2021;48;123
NI;2021;49;126
NI;2021;50;105
NI;2021;51;81
NI;2021;52;68
NI;2022;1;65
NI;2022;2;54
NI;2022;3;66
NI;2022;4;63
NI;2022;5;77
NI;2022;6;106
NI;2022;7;129
NI;2022;8;117
NI;2022;9;133
NI;2022;10;158
NI;2022;11;134
NI;2022;12;165
NI;2022;13;134
NW;2020;10;0
NW;2020;11;8
NW;2020;12;48
NW;2020;13;99
NW;2020;14;267
NW;2020;15;323
NW;2020;16;299
NW;2020;17;218
NW;2020;18;146
NW;2020;19;96
NW;2020;20;60
NW;2020;21;42
NW;2020;22;21
NW;2020;23;29
NW;2020;24;15
NW;2020;25;9
NW;2020;26;23
NW;2020;27;15
NW;2020;28;7
NW;2020;29;10
NW;2020;30;13
NW;2020;31;9
NW;2020;32;17
NW;2020;33;19
NW;2020;34;17
NW;2020;35;16
NW;2020;36;11
NW;2020;37;9
NW;2020;38;17
NW;2020;39;20
NW;2020;40;18
NW;2020;41;37
NW;2020;42;55
NW;2020;43;101
NW;2020;44;204
NW;2020;45;272
NW;2020;46;355
NW;2020;47;421
NW;2020;48;568
NW;2020;49;598
NW;2020;50;726
NW;2020;51;925
NW;2020;52;1052
NW;2020;53;1087
NW;2021;1;909
NW;2021;2;902
NW;2021;3;790
NW;2021;4;730
NW;2021;5;588
NW;2021;6;518
NW;2021;7;424
NW;2021;8;337
NW;2021;9;261
NW;2021;10;249
NW;2021;11;202
NW;2021;12;237
NW;2021;13;234
NW;2021;14;295
NW;2021;15;321
NW;2021;16;355
NW;2021;17;370
NW;2021;18;344
NW;2021;19;262
NW;2021;20;206
NW;2021;21;147
NW;2021;22;100
NW;2021;23;73
NW;2021;24;45
NW;2021;25;34
NW;2021;26;26
NW;2021;27;18
NW;2021;28;16
NW;2021;29;15
NW;2021;30;10
NW;2021;31;17
NW;2021;32;17
NW;2021;33;44
NW;2021;34;52
NW;2021;35;92
NW;2021;36;91
NW;2021;37;106
NW;2021;38;115
NW;2021;39;83
NW;2021;40;77
NW;2021;41;66
NW;2021;42;108
NW;2021;43;112
NW;2021;44;152
NW;2021;45;189
NW;2021;46;208
NW;2021;47;273
NW;2021;48;338
NW;2021;49;324
NW;2021;50;333
NW;2021;51;285
NW;2021;52;200
NW;2022;1;172
NW;2022;2;137
NW;2022;3;143
NW;2022;4;203
NW;2022;5;272
NW;2022;6;306
NW;2022;7;392
NW;2022;8;327
NW;2022;9;309
NW;2022;10;275
NW;2022;11;311
NW;2022;12;269
NW;2022;13;248
RP;2020;10;0
RP;2020;11;0
RP;2020;12;5
RP;2020;13;18
RP;2020;14;24
RP;2020;15;38
RP;2020;16;41
RP;2020;17;40
RP;2020;18;21
RP;2020;19;19
RP;2020;20;18
RP;2020;21;7
RP;2020;22;0
RP;2020;23;<4
RP;2020;24;<4
RP;2020;25;0
RP;2020;26;<4
RP;2020;27;0
RP;2020;28;<4
RP;2020;29;<4
RP;2020;30;0
RP;2020;31;<4
RP;2020;32;<4
RP;2020;33;<4
RP;2020;34;<4
RP;2020;35;<4
RP;2020;36;<4
RP;2020;37;<4
RP;2020;38;<4
RP;2020;39;6
RP;2020;40;<4
RP;2020;41;6
RP;2020;42;7
RP;2020;43;8
RP;2020;44;34
RP;2020;45;45
RP;2020;46;65
RP;2020;47;96
RP;2020;48;149
RP;2020;49;185
RP;2020;50;238
RP;2020;51;236
RP;2020;52;266
RP;2020;53;239
RP;2021;1;253
RP;2021;2;184
RP;2021;3;245
RP;2021;4;206
RP;2021;5;171
RP;2021;6;99
RP;2021;7;70
RP;2021;8;56
RP;2021;9;31
RP;2021;10;31
RP;2021;11;40
RP;2021;12;36
RP;2021;13;52
RP;2021;14;44
RP;2021;15;63
RP;2021;16;54
RP;2021;17;51
RP;2021;18;46
RP;2021;19;40
RP;2021;20;36
RP;2021;21;26
RP;2021;22;23
RP;2021;23;7
RP;2021;24;9
RP;2021;25;<4
RP;2021;26;<4
RP;2021;27;<4
RP;2021;28;<4
RP;2021;29;<4
RP;2021;30;<4
RP;2021;31;<4
RP;2021;32;6
RP;2021;33;<4
RP;2021;34;7
RP;2021;35;13
RP;2021;36;13
RP;2021;37;22
RP;2021;38;23
RP;2021;39;18
RP;2021;40;17
RP;2021;41;27
RP;2021;42;18
RP;2021;43;33
RP;2021;44;40
RP;2021;45;51
RP;2021;46;49
