Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
ST;12;2021;62
ST;13;2020;7
ST;14;2020;5
ST;15;2020;12
ST;16;2020;9
ST;17;2020;6
ST;18;2020;9
ST;19;2020;6
ST;20;2020;<4
ST;21;2020;<4
ST;22;2020;<4
ST;23;2020;<4
ST;24;2020;<4
ST;25;2020;<4
ST;26;2020;<4
ST;27;2020;0
ST;28;2020;0
ST;29;2020;0
ST;30;2020;<4
ST;31;2020;0
ST;32;2020;0
ST;33;2020;0
ST;34;2020;<4
ST;35;2020;0
ST;36;2020;<4
ST;37;2020;0
ST;38;2020;<4
ST;39;2020;<4
ST;40;2020;0
ST;41;2020;<4
ST;42;2020;<4
ST;43;2020;5
ST;44;2020;14
ST;45;2020;11
ST;46;2020;20
ST;47;2020;30
ST;48;2020;54
ST;49;2020;62
ST;50;2020;115
ST;51;2020;141
ST;52;2020;217
ST;53;2020;247
SH;1;2021;108
SH;2;2021;104
SH;3;2021;114
SH;4;2021;142
SH;5;2021;113
SH;6;2021;85
SH;7;2021;58
SH;8;2021;51
SH;9;2021;37
SH;10;2020;<4
SH;10;2021;28
SH;11;2020;0
SH;11;2021;25
SH;12;2020;<4
SH;12;2021;9
SH;13;2020;7
SH;14;2020;20
SH;15;2020;24
SH;16;2020;27
SH;17;2020;23
SH;18;2020;20
SH;19;2020;6
SH;20;2020;7
SH;21;2020;5
SH;22;2020;5
SH;23;2020;<4
SH;24;2020;4
SH;25;2020;0
SH;26;2020;0
SH;27;2020;0
SH;28;2020;<4
SH;29;2020;<4
SH;30;2020;0
SH;31;2020;<4
SH;32;2020;0
SH;33;2020;0
SH;34;2020;<4
SH;35;2020;0
SH;36;2020;0
SH;37;2020;0
SH;38;2020;0
SH;39;2020;0
SH;40;2020;<4
SH;41;2020;0
SH;42;2020;<4
SH;43;2020;5
SH;44;2020;16
SH;45;2020;30
SH;46;2020;18
SH;47;2020;13
SH;48;2020;14
SH;49;2020;18
SH;50;2020;36
SH;51;2020;51
SH;52;2020;84
SH;53;2020;99
TH;1;2021;319
TH;2;2021;267
TH;3;2021;233
TH;4;2021;199
TH;5;2021;166
TH;6;2021;129
TH;7;2021;122
TH;8;2021;111
TH;9;2021;81
TH;10;2020;0
TH;10;2021;69
TH;11;2020;0
TH;11;2021;78
TH;12;2020;<4
TH;12;2021;77
TH;13;2020;<4
TH;14;2020;11
TH;15;2020;20
TH;16;2020;27
TH;17;2020;25
TH;18;2020;22
TH;19;2020;20
TH;20;2020;20
TH;21;2020;11
TH;22;2020;11
TH;23;2020;5
TH;24;2020;6
TH;25;2020;5
TH;26;2020;0
TH;27;2020;<4
TH;28;2020;<4
TH;29;2020;<4
TH;30;2020;0
TH;31;2020;<4
TH;32;2020;<4
TH;33;2020;0
TH;34;2020;0
TH;35;2020;0
TH;36;2020;0
TH;37;2020;<4
TH;38;2020;<4
TH;39;2020;0
TH;40;2020;<4
TH;41;2020;<4
TH;42;2020;4
TH;43;2020;<4
TH;44;2020;15
TH;45;2020;27
TH;46;2020;40
TH;47;2020;70
TH;48;2020;81
TH;49;2020;140
TH;50;2020;169
TH;51;2020;209
TH;52;2020;270
TH;53;2020;305
